source,target,edge
local  residents,ongoing land Marigat,size
former Wajir abductees,former Khorof Harar,managed
lasting Al Shabaab,responsibility,claimed
elderly Nyamira women,witchcraft  sorcery,report
local  residents,social GDC responsibility,size
2022  section,increasing Meru Isiolo border,size
only West Pokot leadership,area,size
armed  militia,unknown Baringo livestock,raided
unknown Elgeyo number,livestock,stolen
unknown Al Shabaab,responsibility,claimed
Al Shabaab,responsibility,claimed
GDC Baringo residents,social GDC responsibility,size
2022  traders,police Kagumo,size
9 Security personnel,Mukogodo forest,recover
epz export processing workers,alleged Machakos 2000,size
Three Elgeyo people,2  hospital,injured
several Lamu This,allegedly Al Shabab militants,following
6  people,away  farms,killed
4 road people,accident,size
same  they,same  day,suggests
pastoralist  militia,old Baringo herder,attacked
peaceful West Pokot group,neighbouring Marakwet community,size
suspected Al Shabab militants,recent  Lamu,arrested by
suspected Isiolo police,critical  condition.[size,report
exorbitant Ugandan strike,exorbitant Ugandan authorities,size
several  houses,incident,reported
armed Turkana cattle rustler,allegedly Kasarani Isiolo,Isiolo
stolen security livestock,morans,alleged
Four West Pokot people,Cheptulel Chesogon,details
motorcycle,suspected al Shabaab Kiunga,East
young Nairobi motive,attack,remains unknown
local  residents,500 area homes,size
Police forces,him,size
3 Changaa dens,many,size
suspecetd,old taxi Garissa,abducted
Two  suspects,later  court,report
2,demonstration,size
15  employees,human resource removal,size
unidentified  that,unscrupulous  region,size
Usian Ngishu Kenya Police,tear  crowd,size
11 Marsabit people,300 Basir Wajir,families
allegedly Samburu reason,attack,is unknown
owner,cellphone,size
Other Wajir clan sources,possible terror links,mention possible
Two Isiolo people,unknown livestock stolen,killed
peaceful Isiolo workers,one county year,size
owner,domestic  disagreement,size
local  residents,unpaid Wote town,size
stolen  livestock,8  fatalities,recovered
stolen  livestock,shootout,recovered
woman,nearby  bush,size
Coast motive,attack,size
One Elgeyo student,Embobut ward,killed
eighth grade victim,later  treatment,size
2021 boda taxi riders,eighth grade pupil,size
Laikipia Hundreds,Lobere primary Lobere school,displaced
Two Isiolo people,incident,injured from
14  goats,farm,injured
other Uasin Gishu motive,attack,size
